type,Channel,NJets,MET,Mll,LepDeltaPhi,METLLDeltaPhi,SumLepPt,BTags,weight
3,0,1,7.57,11.27,0.03,2.61,66.87,0,0.04678
3,0,1,12.99,12.17,0.31,-2.91,81.43,0,0.11052
3,0,1,34.26,14.36,0.32,2.42,87.85,0,0.06163
3,0,0,17.20,11.49,0.30,0.91,73.51,0,0.02291
3,0,1,42.58,12.16,0.39,0.81,57.07,0,0.07487
3,0,1,14.07,10.74,0.17,-0.25,52.11,0,0.09142
3,0,1,30.56,8.85,0.32,-0.89,52.17,0,0.09957
3,0,3,6.00,14.18,0.40,0.71,70.77,0,0.05642
3,0,3,28.34,13.90,0.13,-2.83,72.63,0,0.10075
3,0,1,23.13,14.09,0.23,-2.52,65.19,0,0.08590
3,0,1,27.18,11.30,0.04,-0.36,51.03,0,0.06117
3,0,1,16.41,9.91,0.25,1.19,60.95,1,0.11450
3,0,1,25.99,10.76,0.31,-2.52,63.50,0,0.10902
2,2,2,54.12,156.45,1.49,-2.57,94.68,1,0.00465
2,1,2,121.93,182.90,2.08,1.29,50.64,1,0.01745
2,0,3,96.00,115.51,2.82,-2.26,24.41,1,0.06196
2,0,3,135.16,115.93,2.54,-0.50,60.23,1,0.08930
2,2,2,153.92,149.41,2.05,2.48,69.71,1,0.00047
2,1,1,34.94,82.65,1.24,-1.61,124.78,0,0.00328
2,2,2,52.12,53.91,1.23,1.59,78.29,1,0.01618
2,2,1,31.35,116.42,0.84,2.92,95.23,0,0.00449
2,0,3,85.71,71.56,2.27,-0.81,30.98,1,0.00050
2,2,1,59.64,73.19,1.20,0.91,82.94,1,0.00050
2,1,4,82.74,98.67,1.87,1.65,61.39,1,0.06187
2,2,3,27.32,143.09,1.89,-2.26,97.83,1,0.03857
2,2,4,58.97,164.61,0.81,2.77,97.71,1,0.01308
2,0,2,49.93,82.40,2.77,-0.46,17.13,1,0.00050
2,0,2,69.86,47.82,0.31,-1.87,61.17,1,0.09467
2,2,1,210.28,140.73,2.42,2.89,174.30,0,0.00179
2,2,1,68.79,73.11,1.42,2.10,79.65,1,0.00332
2,2,2,137.26,136.00,2.81,-2.99,14.06,1,0.00398
2,2,2,64.54,162.07,2.02,2.79,91.22,1,0.02571
2,2,3,54.76,49.64,1.04,2.02,67.22,1,0.03896
